id,link,title,excerpt,featured_image_url,coordinates
4497,https://www.clarku.edu/map/places/graduate-admissions/,Graduate Admissions,The Pink House is where you’ll find the offices of Graduate Admissions.,https://www.clarku.edu/map/wp-content/uploads/sites/347/2024/03/pink-house-900x600-1-300x200.jpg,"42.25312608223547, -71.82058050104968"
4478,https://www.clarku.edu/map/places/birch-street-commuter-parking/,Birch Street Commuter Parking,"The Birch Street lot is designated for commuter parking, and requires a permit. Clark University has several lots where visitors to campus can park. If you’re visiting Undergraduate Admissions, please pick up a permit at The John and Kay Bassett Admissions Center. The Maywood Street Parking Lot is the most convenient parking for Undergraduate Admissions. If you […]",https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/05/parking-header-300x123.jpg,"42.25251001028476, -71.82693585903237"
4455,https://www.clarku.edu/map/places/center-for-media-arts-computing-and-design/,"Center for Media Arts, Computing, and Design","A hub of creative activity on campus, the center inspires Clarkies’ entrepreneurial thinking and development of innovative technology.",False,"42.25189182669703, -71.8212563137712"
4430,https://www.clarku.edu/map/places/higgins-university-center/tilton-hall/,Tilton Hall,"Located on the second floor of Higgins University Center, Tilton Hall is Clark University’s “Great Room.”",https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/tilton-hall-hero-300x123.jpg,"42.25007711890348, -71.82293821178074"
4375,https://www.clarku.edu/map/places/little-center-and-michelson-theater/,Little Center and Michelson Theater,"As the hub of Clark’s theater arts program, the Little Center hums with set-building and costume construction, rehearsals and productions nearly every day and night throughout the academic year.",https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/michelson-theater-hero-300x123.jpg,"42.252768867557734, -71.82253405021304"
4381,https://www.clarku.edu/map/places/hadwen-arboretum/,Hadwen Arboretum,The Hadwen Arboretum contains 6.4 acres of unspoiled woodland green space in the heart of Worcester.,https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/arboretum-hero-2x-2048x841-1-300x123.jpg,"42.25827755498376, -71.8332356860346"
4374,https://www.clarku.edu/map/places/shaich-family-alumni-and-student-engagement-center/campus-store/,Campus Store,"The Clark University Campus Store is an independent store, owned and operated entirely by Clark University. It is the source for Clark clothing, gifts, and supplies.",https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/campus-store-300x123.jpg,"42.250146326227295, -71.82201945263077"
4370,https://www.clarku.edu/map/places/traina-center-for-the-arts/media-arts-study-hub/,Media Arts Study Hub (MASH),The Media Arts Study Hub (MASH) is an open study space equipped with a wide array of modern and legacy technology.,https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/media-arts-study-hub-300x123.jpg,"42.25403643913185, -71.82482323144708"
4366,https://www.clarku.edu/map/places/cohen-lasry-house/rose-library/,Rose Library,"The Strassler Center library collection is comprised of books, journals, and donated archival materials related to the Holocaust, the Armenian Genocide, the 1994 Genocide in Rwanda and a range of other cases of genocide and mass violence.",https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/rose-library-300x123.jpg,"42.252342092348975, -71.82128163074768"
4357,https://www.clarku.edu/map/places/shaich-family-alumni-and-student-engagement-center/the-den/,The Den,Coffee and snacks in the Shaich Family Alumni and Student Engagement Center.,https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/the-den-300x123.jpg,"42.25012368219704, -71.82199910035263"
4353,https://www.clarku.edu/map/places/higgins-university-center/the-bistro/,The Bistro,"A casual dining hub in the Higgins University Center, offering four dining platforms.",https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/bistro-300x123.jpg,"42.25028908688972, -71.82326154077406"
4347,https://www.clarku.edu/map/places/higgins-university-center/higgins-cafe/,Higgins Café,"Higgins Cafe is our flagship campus dining experience, featuring an all you care to eat hot and cold food selection at every meal, seven days a week.",https://www.clarku.edu/map/wp-content/uploads/sites/347/2023/07/higgins-cafe-300x123.jpg,"42.24994707393832, -71.82338077626264"
